15.06.2021 15:36:33.076 0 DEBUG    0x000027e4 HttpConnectionHandler (0x1c9140): handle new connection
15.06.2021 15:39:06.496 0 DEBUG    0x00001f78 HttpConnectionHandler (0x819320): handle new connection
15.06.2021 15:39:06.504 0 DEBUG    0x0000303c HttpRequest: from ::1: GET /hello HTTP/1.1
15.06.2021 15:39:06.504 0 DEBUG    0x0000303c HttpConnectionHandler (0x819200): received request
15.06.2021 15:39:06.505 0 DEBUG    0x0000303c RequestMapper: path=/hello
15.06.2021 15:39:06.505 0 DEBUG    0x0000303c HttpSessionStore: received invalid session cookie with ID {3ff790c0-16aa-4b05-a142-be7cab0493e5}
15.06.2021 15:39:06.505 0 DEBUG    0x0000303c RequestMapper: redirect to login page
15.06.2021 15:39:06.505 0 DEBUG    0x0000303c HttpConnectionHandler (0x819200): finished request
15.06.2021 15:39:06.548 0 DEBUG    0x0000303c HttpRequest: from ::1: GET /login HTTP/1.1
15.06.2021 15:39:06.549 0 DEBUG    0x0000303c HttpConnectionHandler (0x819200): received request
15.06.2021 15:39:06.549 0 DEBUG    0x0000303c RequestMapper: path=/login
15.06.2021 15:39:06.549 0 DEBUG    0x0000303c HttpSessionStore: received invalid session cookie with ID {3ff790c0-16aa-4b05-a142-be7cab0493e5}
15.06.2021 15:39:06.549 0 DEBUG    0x0000303c HttpSessionStore: received invalid session cookie with ID {3ff790c0-16aa-4b05-a142-be7cab0493e5}
15.06.2021 15:39:06.549 0 DEBUG    0x0000303c HttpSessionStore: create new session with ID {4b7ea7ed-4cf0-45f2-bc72-ca0f09b7e409}
15.06.2021 15:39:06.549 0 DEBUG    0x0000303c username=
15.06.2021 15:39:06.549 0 DEBUG    0x0000303c password=
15.06.2021 15:39:06.550 0 DEBUG    0x0000303c RequestMapper: finished request
15.06.2021 15:39:06.550 0 DEBUG    0x0000303c HttpConnectionHandler (0x819200): finished request
15.06.2021 15:40:06.491 0 DEBUG    0x00001f78 HttpConnectionHandler (0x819320): read timeout occured
15.06.2021 15:40:06.491 0 DEBUG    0x00001f78 HttpConnectionHandler (0x819320): disconnected
15.06.2021 15:40:06.539 0 DEBUG    0x0000303c HttpConnectionHandler (0x819200): read timeout occured
15.06.2021 15:40:06.539 0 DEBUG    0x0000303c HttpConnectionHandler (0x819200): disconnected
15.06.2021 15:41:53.614 0 DEBUG    0x000005ec User:{currentUser} QtWebApp has version 1.8.3
15.06.2021 15:41:53.615 0 DEBUG    0x000005ec User:{currentUser} HttpSessionStore: Sessions expire after 3600000 milliseconds
15.06.2021 15:41:53.615 0 DEBUG    0x000005ec User:{currentUser} StaticFileController: docroot=C:/Users/Lenovo/Documents/qt/MyFirstWebApp/docroot, encoding=UTF-8, maxAge=90000
15.06.2021 15:41:53.615 0 DEBUG    0x000005ec User:{currentUser} StaticFileController: cache timeout=60000, size=1000000
15.06.2021 15:41:53.616 0 DEBUG    0x000005ec User:{currentUser} TemplateLoader: path=C:/Users/Lenovo/Documents/qt/MyFirstWebApp/docroot, codec=UTF-8
15.06.2021 15:41:53.616 0 DEBUG    0x000005ec User:{currentUser} TemplateCache: timeout=60000, size=1000000
15.06.2021 15:41:53.651 0 DEBUG    0x000005ec User:{currentUser} HttpListener: Listening on port 8080
15.06.2021 15:41:56.232 0 DEBUG    0x000005ec User:{currentUser} HttpConnectionHandler (0xfa8fc0): thread started
15.06.2021 15:41:56.232 0 DEBUG    0x000005ec User:{currentUser} HttpConnectionHandler (0xfa8fc0): constructed
15.06.2021 15:41:56.233 0 DEBUG    0x000005ec User:{currentUser} HttpConnectionHandler (0xfa9020): thread started
15.06.2021 15:41:56.234 0 DEBUG    0x000005ec User:{currentUser} HttpConnectionHandler (0xfa9020): constructed
15.06.2021 15:41:56.260 0 DEBUG    0x000012cc User:{currentUser} HttpConnectionHandler (0xfa8fc0): handle new connection
15.06.2021 15:41:56.267 0 DEBUG    0x000024d4 User:{currentUser} HttpConnectionHandler (0xfa9020): handle new connection
15.06.2021 15:41:56.287 0 DEBUG    0x000024d4 User:{currentUser} HttpRequest: from ::1: GET /login?username=test&password=hello HTTP/1.1
15.06.2021 15:41:56.287 0 DEBUG    0x000024d4 User:{currentUser} HttpConnectionHandler (0xfa9020): received request
15.06.2021 15:41:56.287 0 DEBUG    0x000024d4 User:{currentUser} RequestMapper: path=/login
15.06.2021 15:41:56.287 0 DEBUG    0x000024d4 User:{currentUser} HttpSessionStore: received invalid session cookie with ID {4b7ea7ed-4cf0-45f2-bc72-ca0f09b7e409}
15.06.2021 15:41:56.287 0 DEBUG    0x000024d4 User: HttpSessionStore: received invalid session cookie with ID {4b7ea7ed-4cf0-45f2-bc72-ca0f09b7e409}
15.06.2021 15:41:56.287 0 DEBUG    0x000024d4 User: HttpSessionStore: received invalid session cookie with ID {4b7ea7ed-4cf0-45f2-bc72-ca0f09b7e409}
15.06.2021 15:41:56.288 0 DEBUG    0x000024d4 User: HttpSessionStore: create new session with ID {bd1d9b6e-ccf5-4935-a268-7ead2e4c0c11}
15.06.2021 15:41:56.288 0 DEBUG    0x000024d4 User: username=test
15.06.2021 15:41:56.288 0 DEBUG    0x000024d4 User: password=hello
15.06.2021 15:41:56.289 0 DEBUG    0x000024d4 User: RequestMapper: finished request
15.06.2021 15:41:56.289 0 DEBUG    0x000024d4 User: HttpConnectionHandler (0xfa9020): finished request
15.06.2021 15:41:57.330 0 DEBUG    0x000024d4 User: HttpRequest: from ::1: GET /login?username=test&password=hello HTTP/1.1
15.06.2021 15:41:57.331 0 DEBUG    0x000024d4 User: HttpConnectionHandler (0xfa9020): received request
15.06.2021 15:41:57.331 0 DEBUG    0x000024d4 User: RequestMapper: path=/login
15.06.2021 15:41:57.331 0 DEBUG    0x000024d4 User:test username=test
15.06.2021 15:41:57.331 0 DEBUG    0x000024d4 User:test password=hello
15.06.2021 15:41:57.331 0 DEBUG    0x000024d4 User:test RequestMapper: finished request
15.06.2021 15:41:57.332 0 DEBUG    0x000024d4 User:test HttpConnectionHandler (0xfa9020): finished request
15.06.2021 15:42:56.261 0 DEBUG    0x000012cc User:{currentUser} HttpConnectionHandler (0xfa8fc0): read timeout occured
15.06.2021 15:42:56.261 0 DEBUG    0x000012cc User:{currentUser} HttpConnectionHandler (0xfa8fc0): disconnected
15.06.2021 15:42:57.321 0 DEBUG    0x000024d4 User:test HttpConnectionHandler (0xfa9020): read timeout occured
15.06.2021 15:42:57.321 0 DEBUG    0x000024d4 User:test HttpConnectionHandler (0xfa9020): disconnected
15.06.2021 15:45:48.089 0 DEBUG    0x000013a0 User:{currentUser} QtWebApp has version 1.8.3
15.06.2021 15:45:48.090 0 DEBUG    0x000013a0 User:{currentUser} HttpSessionStore: Sessions expire after 3600000 milliseconds
15.06.2021 15:45:48.091 0 DEBUG    0x000013a0 User:{currentUser} StaticFileController: docroot=C:/Users/Lenovo/Documents/qt/MyFirstWebApp/docroot, encoding=UTF-8, maxAge=90000
15.06.2021 15:45:48.091 0 DEBUG    0x000013a0 User:{currentUser} StaticFileController: cache timeout=60000, size=1000000
15.06.2021 15:45:48.092 0 DEBUG    0x000013a0 User:{currentUser} TemplateLoader: path=C:/Users/Lenovo/Documents/qt/MyFirstWebApp/docroot, codec=UTF-8
15.06.2021 15:45:48.092 0 DEBUG    0x000013a0 User:{currentUser} TemplateCache: timeout=60000, size=1000000
15.06.2021 15:45:48.129 0 DEBUG    0x000013a0 User:{currentUser} HttpListener: Listening on port 8080
15.06.2021 15:45:51.747 0 DEBUG    0x000013a0 User:{currentUser} HttpConnectionHandler (0xfd91a0): thread started
15.06.2021 15:45:51.748 0 DEBUG    0x000013a0 User:{currentUser} HttpConnectionHandler (0xfd91a0): constructed
15.06.2021 15:45:51.748 0 DEBUG    0x000013a0 User:{currentUser} HttpConnectionHandler (0xfd8ea0): thread started
15.06.2021 15:45:51.748 0 DEBUG    0x000013a0 User:{currentUser} HttpConnectionHandler (0xfd8ea0): constructed
15.06.2021 15:45:51.771 0 DEBUG    0x00003164 User:{currentUser} HttpConnectionHandler (0xfd91a0): handle new connection
15.06.2021 15:45:51.785 0 DEBUG    0x0000181c User:{currentUser} HttpConnectionHandler (0xfd8ea0): handle new connection
15.06.2021 15:45:51.802 0 DEBUG    0x0000181c User:{currentUser} HttpRequest: from ::1: GET /login?username=test&password=hello HTTP/1.1
15.06.2021 15:45:51.802 0 DEBUG    0x0000181c User:{currentUser} HttpConnectionHandler (0xfd8ea0): received request
15.06.2021 15:45:51.803 0 DEBUG    0x0000181c User:{currentUser} RequestMapper: path=/login
15.06.2021 15:45:51.803 0 DEBUG    0x0000181c User:{currentUser} HttpSessionStore: received invalid session cookie with ID {bd1d9b6e-ccf5-4935-a268-7ead2e4c0c11}
15.06.2021 15:45:51.803 0 DEBUG    0x0000181c User: HttpSessionStore: received invalid session cookie with ID {bd1d9b6e-ccf5-4935-a268-7ead2e4c0c11}
15.06.2021 15:45:51.803 0 DEBUG    0x0000181c User: HttpSessionStore: received invalid session cookie with ID {bd1d9b6e-ccf5-4935-a268-7ead2e4c0c11}
15.06.2021 15:45:51.803 0 DEBUG    0x0000181c User: HttpSessionStore: create new session with ID {3f4821cd-3e59-476c-9306-6685dd4b1d39}
15.06.2021 15:45:51.803 0 DEBUG    0x0000181c User: username=test
15.06.2021 15:45:51.803 0 DEBUG    0x0000181c User: password=hello
15.06.2021 15:45:51.804 0 DEBUG    0x0000181c User: RequestMapper: finished request
15.06.2021 15:45:51.804 0 DEBUG    0x0000181c User:{currentUser} HttpConnectionHandler (0xfd8ea0): finished request
15.06.2021 15:45:52.819 0 DEBUG    0x0000181c User:{currentUser} HttpRequest: from ::1: GET /login?username=test&password=hello HTTP/1.1
15.06.2021 15:45:52.819 0 DEBUG    0x0000181c User:{currentUser} HttpConnectionHandler (0xfd8ea0): received request
15.06.2021 15:45:52.819 0 DEBUG    0x0000181c User:{currentUser} RequestMapper: path=/login
15.06.2021 15:45:52.819 0 DEBUG    0x0000181c User:test username=test
15.06.2021 15:45:52.819 0 DEBUG    0x0000181c User:test password=hello
15.06.2021 15:45:52.820 0 DEBUG    0x0000181c User:test RequestMapper: finished request
15.06.2021 15:45:52.821 0 DEBUG    0x0000181c User:{currentUser} HttpConnectionHandler (0xfd8ea0): finished request
15.06.2021 15:46:51.788 0 DEBUG    0x00003164 User:{currentUser} HttpConnectionHandler (0xfd91a0): read timeout occured
15.06.2021 15:46:51.789 0 DEBUG    0x00003164 User:{currentUser} HttpConnectionHandler (0xfd91a0): disconnected
15.06.2021 15:46:52.824 0 DEBUG    0x0000181c User:{currentUser} HttpConnectionHandler (0xfd8ea0): read timeout occured
15.06.2021 15:46:52.824 0 DEBUG    0x0000181c User:{currentUser} HttpConnectionHandler (0xfd8ea0): disconnected
21.06.2021 16:26:50.095 0 DEBUG    0x000026bc User:{currentUser} QtWebApp has version 1.8.3
21.06.2021 16:26:50.095 0 DEBUG    0x000026bc User:{currentUser} HttpSessionStore: Sessions expire after 3600000 milliseconds
21.06.2021 16:26:50.095 0 DEBUG    0x000026bc User:{currentUser} StaticFileController: docroot=C:/Users/Lenovo/Documents/qt/MyFirstWebApp/docroot, encoding=UTF-8, maxAge=90000
21.06.2021 16:26:50.095 0 DEBUG    0x000026bc User:{currentUser} StaticFileController: cache timeout=60000, size=1000000
21.06.2021 16:26:50.175 0 DEBUG    0x000026bc User:{currentUser} TemplateLoader: path=C:/Users/Lenovo/Documents/qt/MyFirstWebApp/docroot, codec=UTF-8
21.06.2021 16:26:50.175 0 DEBUG    0x000026bc User:{currentUser} TemplateCache: timeout=60000, size=1000000
21.06.2021 16:26:50.395 0 DEBUG    0x000026bc User:{currentUser} HttpListener: Listening on port 8080
21.06.2021 16:26:57.590 0 DEBUG    0x000026bc User:{currentUser} HttpConnectionHandler (0x1009380): thread started
21.06.2021 16:26:57.605 0 DEBUG    0x000026bc User:{currentUser} HttpConnectionHandler (0x1009380): constructed
21.06.2021 16:26:57.622 0 DEBUG    0x000027fc User:{currentUser} HttpConnectionHandler (0x1009380): handle new connection
21.06.2021 16:26:57.630 0 DEBUG    0x000026bc User:{currentUser} HttpConnectionHandler (0x1008de0): thread started
21.06.2021 16:26:57.630 0 DEBUG    0x000026bc User:{currentUser} HttpConnectionHandler (0x1008de0): constructed
21.06.2021 16:26:57.631 0 DEBUG    0x00003248 User:{currentUser} HttpConnectionHandler (0x1008de0): handle new connection
21.06.2021 16:26:57.661 0 DEBUG    0x00003248 User:{currentUser} HttpRequest: from ::1: POST / HTTP/1.1
21.06.2021 16:26:57.662 0 DEBUG    0x000027fc User:{currentUser} HttpConnectionHandler (0x1009380): disconnected
21.06.2021 16:26:57.662 0 DEBUG    0x00003248 User:{currentUser} HttpConnectionHandler (0x1008de0): received request
21.06.2021 16:26:57.663 0 DEBUG    0x00003248 User:{currentUser} RequestMapper: path=/
21.06.2021 16:26:57.663 0 DEBUG    0x00003248 User: RequestMapper: redirect to login page
21.06.2021 16:26:57.664 0 DEBUG    0x00003248 User: HttpConnectionHandler (0x1008de0): finished request
21.06.2021 16:26:57.680 0 DEBUG    0x000027fc User:{currentUser} HttpConnectionHandler (0x1009380): handle new connection
21.06.2021 16:26:57.691 0 DEBUG    0x000027fc User:{currentUser} HttpConnectionHandler (0x1009380): disconnected
21.06.2021 16:26:57.691 0 DEBUG    0x000026bc User:{currentUser} HttpConnectionHandler (0x10093e0): thread started
21.06.2021 16:26:57.691 0 DEBUG    0x000026bc User:{currentUser} HttpConnectionHandler (0x10093e0): constructed
21.06.2021 16:26:57.693 0 DEBUG    0x000002d0 User:{currentUser} HttpConnectionHandler (0x10093e0): handle new connection
21.06.2021 16:26:57.694 0 DEBUG    0x000002d0 User:{currentUser} HttpRequest: from ::1: GET /login HTTP/1.1
21.06.2021 16:26:57.694 0 DEBUG    0x000002d0 User:{currentUser} HttpConnectionHandler (0x10093e0): received request
21.06.2021 16:26:57.694 0 DEBUG    0x000002d0 User:{currentUser} RequestMapper: path=/login
21.06.2021 16:26:57.718 0 DEBUG    0x000002d0 User: HttpSessionStore: create new session with ID {5da6f77f-5b67-45a6-beb6-663f943dc5b5}
21.06.2021 16:26:57.718 0 DEBUG    0x000002d0 User: username=
21.06.2021 16:26:57.718 0 DEBUG    0x000002d0 User: password=
21.06.2021 16:26:57.718 0 DEBUG    0x000002d0 User: RequestMapper: finished request
21.06.2021 16:26:57.719 0 DEBUG    0x000002d0 User:{currentUser} HttpConnectionHandler (0x10093e0): finished request
21.06.2021 16:27:57.662 0 DEBUG    0x00003248 User: HttpConnectionHandler (0x1008de0): read timeout occured
21.06.2021 16:27:57.663 0 DEBUG    0x00003248 User: HttpConnectionHandler (0x1008de0): disconnected
21.06.2021 16:27:57.715 0 DEBUG    0x000002d0 User:{currentUser} HttpConnectionHandler (0x10093e0): read timeout occured
21.06.2021 16:27:57.715 0 DEBUG    0x000002d0 User:{currentUser} HttpConnectionHandler (0x10093e0): disconnected
21.06.2021 16:28:06.985 0 DEBUG    0x000027fc User:{currentUser} HttpConnectionHandler (0x1009380): handle new connection
21.06.2021 16:28:06.986 0 DEBUG    0x00003248 User: HttpConnectionHandler (0x1008de0): handle new connection
21.06.2021 16:28:07.034 0 DEBUG    0x00003248 User: HttpRequest: from ::1: GET / HTTP/1.1
21.06.2021 16:28:07.034 0 DEBUG    0x00003248 User: HttpConnectionHandler (0x1008de0): received request
21.06.2021 16:28:07.034 0 DEBUG    0x00003248 User: RequestMapper: path=/
21.06.2021 16:28:07.034 0 DEBUG    0x00003248 User: RequestMapper: redirect to login page
21.06.2021 16:28:07.035 0 DEBUG    0x00003248 User: HttpConnectionHandler (0x1008de0): finished request
21.06.2021 16:28:07.080 0 DEBUG    0x00003248 User: HttpRequest: from ::1: GET /login HTTP/1.1
21.06.2021 16:28:07.081 0 DEBUG    0x00003248 User: HttpConnectionHandler (0x1008de0): received request
21.06.2021 16:28:07.081 0 DEBUG    0x00003248 User: RequestMapper: path=/login
21.06.2021 16:28:07.081 0 DEBUG    0x00003248 User: HttpSessionStore: create new session with ID {aa1f5612-8c98-40f9-bb9c-cfff8784db18}
21.06.2021 16:28:07.081 0 DEBUG    0x00003248 User: username=
21.06.2021 16:28:07.081 0 DEBUG    0x00003248 User: password=
21.06.2021 16:28:07.081 0 DEBUG    0x00003248 User: RequestMapper: finished request
21.06.2021 16:28:07.081 0 DEBUG    0x00003248 User:{currentUser} HttpConnectionHandler (0x1008de0): finished request
21.06.2021 16:28:07.804 0 DEBUG    0x00003248 User:{currentUser} HttpRequest: from ::1: GET /favicon.ico HTTP/1.1
21.06.2021 16:28:07.805 0 DEBUG    0x00003248 User:{currentUser} HttpConnectionHandler (0x1008de0): received request
21.06.2021 16:28:07.805 0 DEBUG    0x00003248 User:{currentUser} RequestMapper: path=/favicon.ico
21.06.2021 16:28:07.805 0 DEBUG    0x00003248 User: RequestMapper: finished request
21.06.2021 16:28:07.805 0 DEBUG    0x00003248 User:{currentUser} HttpConnectionHandler (0x1008de0): finished request
21.06.2021 16:28:12.686 0 DEBUG    0x00003248 User:{currentUser} HttpRequest: from ::1: POST /login HTTP/1.1
21.06.2021 16:28:12.686 0 DEBUG    0x00003248 User:{currentUser} HttpConnectionHandler (0x1008de0): received request
21.06.2021 16:28:12.686 0 DEBUG    0x00003248 User:{currentUser} RequestMapper: path=/login
21.06.2021 16:28:12.686 0 DEBUG    0x00003248 User: username=test
21.06.2021 16:28:12.686 0 DEBUG    0x00003248 User: password=hello
21.06.2021 16:28:12.687 0 DEBUG    0x00003248 User: RequestMapper: finished request
21.06.2021 16:28:12.687 0 DEBUG    0x00003248 User:{currentUser} HttpConnectionHandler (0x1008de0): finished request
21.06.2021 16:28:18.749 0 DEBUG    0x00003248 User:{currentUser} HttpRequest: from ::1: GET / HTTP/1.1
21.06.2021 16:28:18.749 0 DEBUG    0x00003248 User:{currentUser} HttpConnectionHandler (0x1008de0): received request
21.06.2021 16:28:18.749 0 DEBUG    0x00003248 User:{currentUser} RequestMapper: path=/
21.06.2021 16:28:18.750 0 DEBUG    0x00003248 User:test RequestMapper: finished request
21.06.2021 16:28:18.750 0 DEBUG    0x00003248 User:{currentUser} HttpConnectionHandler (0x1008de0): finished request
21.06.2021 16:28:23.679 0 DEBUG    0x000002d0 User:{currentUser} HttpConnectionHandler (0x10093e0): handle new connection
21.06.2021 16:28:23.682 0 DEBUG    0x000002d0 User:{currentUser} HttpConnectionHandler (0x10093e0): disconnected
21.06.2021 16:28:23.682 0 DEBUG    0x000026bc User:{currentUser} HttpConnectionHandler (0x26477b0): thread started
21.06.2021 16:28:23.682 0 DEBUG    0x000026bc User:{currentUser} HttpConnectionHandler (0x26477b0): constructed
21.06.2021 16:28:23.685 0 DEBUG    0x00001ed0 User:{currentUser} HttpConnectionHandler (0x26477b0): handle new connection
21.06.2021 16:28:23.687 0 DEBUG    0x00001ed0 User:{currentUser} HttpRequest: from ::1: POST / HTTP/1.1
21.06.2021 16:28:23.687 0 DEBUG    0x00001ed0 User:{currentUser} HttpConnectionHandler (0x26477b0): received request
21.06.2021 16:28:23.687 0 DEBUG    0x00001ed0 User:{currentUser} RequestMapper: path=/
21.06.2021 16:28:23.688 0 DEBUG    0x00001ed0 User: RequestMapper: finished request
21.06.2021 16:28:23.688 0 DEBUG    0x00001ed0 User:{currentUser} HttpConnectionHandler (0x26477b0): finished request
21.06.2021 16:29:06.976 0 DEBUG    0x000027fc User:{currentUser} HttpConnectionHandler (0x1009380): read timeout occured
21.06.2021 16:29:06.976 0 DEBUG    0x000027fc User:{currentUser} HttpConnectionHandler (0x1009380): disconnected
21.06.2021 16:29:18.739 0 DEBUG    0x00003248 User:{currentUser} HttpConnectionHandler (0x1008de0): read timeout occured
21.06.2021 16:29:18.739 0 DEBUG    0x00003248 User:{currentUser} HttpConnectionHandler (0x1008de0): disconnected
21.06.2021 16:29:23.676 0 DEBUG    0x00001ed0 User:{currentUser} HttpConnectionHandler (0x26477b0): read timeout occured
21.06.2021 16:29:23.676 0 DEBUG    0x00001ed0 User:{currentUser} HttpConnectionHandler (0x26477b0): disconnected
21.06.2021 16:36:32.105 0 DEBUG    0x000027fc User:{currentUser} HttpConnectionHandler (0x1009380): handle new connection
21.06.2021 16:36:32.112 0 DEBUG    0x00003248 User:{currentUser} HttpConnectionHandler (0x1008de0): handle new connection
21.06.2021 16:36:32.112 0 DEBUG    0x000027fc User:{currentUser} HttpConnectionHandler (0x1009380): disconnected
21.06.2021 16:36:32.114 0 DEBUG    0x00003248 User:{currentUser} HttpRequest: from ::1: GET / HTTP/1.1
21.06.2021 16:36:32.114 0 DEBUG    0x00003248 User:{currentUser} HttpConnectionHandler (0x1008de0): received request
21.06.2021 16:36:32.114 0 DEBUG    0x00003248 User:{currentUser} RequestMapper: path=/
21.06.2021 16:36:32.115 0 DEBUG    0x00003248 User: RequestMapper: finished request
21.06.2021 16:36:32.115 0 DEBUG    0x00003248 User:{currentUser} HttpConnectionHandler (0x1008de0): finished request
21.06.2021 16:36:51.330 0 DEBUG    0x000027fc User:{currentUser} HttpConnectionHandler (0x1009380): handle new connection
21.06.2021 16:36:51.333 0 DEBUG    0x000002d0 User:{currentUser} HttpConnectionHandler (0x10093e0): handle new connection
21.06.2021 16:36:51.351 0 DEBUG    0x000002d0 User:{currentUser} HttpRequest: from ::1: GET / HTTP/1.1
21.06.2021 16:36:51.351 0 DEBUG    0x000002d0 User:{currentUser} HttpConnectionHandler (0x10093e0): received request
21.06.2021 16:36:51.351 0 DEBUG    0x000002d0 User:{currentUser} RequestMapper: path=/
21.06.2021 16:36:51.352 0 DEBUG    0x000002d0 User:test RequestMapper: finished request
21.06.2021 16:36:51.352 0 DEBUG    0x000002d0 User:{currentUser} HttpConnectionHandler (0x10093e0): finished request
21.06.2021 16:37:32.115 0 DEBUG    0x00003248 User:{currentUser} HttpConnectionHandler (0x1008de0): read timeout occured
21.06.2021 16:37:32.115 0 DEBUG    0x00003248 User:{currentUser} HttpConnectionHandler (0x1008de0): disconnected
21.06.2021 16:37:51.341 0 DEBUG    0x000027fc User:{currentUser} HttpConnectionHandler (0x1009380): read timeout occured
21.06.2021 16:37:51.341 0 DEBUG    0x000027fc User:{currentUser} HttpConnectionHandler (0x1009380): disconnected
21.06.2021 16:37:51.351 0 DEBUG    0x000002d0 User:{currentUser} HttpConnectionHandler (0x10093e0): read timeout occured
21.06.2021 16:37:51.351 0 DEBUG    0x000002d0 User:{currentUser} HttpConnectionHandler (0x10093e0): disconnected
21.06.2021 17:36:50.114 0 DEBUG    0x000026bc User:{currentUser} HttpSessionStore: session {5da6f77f-5b67-45a6-beb6-663f943dc5b5} expired
21.06.2021 17:36:50.114 0 DEBUG    0x000026bc User:{currentUser} HttpSession: deleting data
21.06.2021 17:37:50.112 0 DEBUG    0x000026bc User:{currentUser} HttpSessionStore: session {aa1f5612-8c98-40f9-bb9c-cfff8784db18} expired
21.06.2021 17:37:50.112 0 DEBUG    0x000026bc User:{currentUser} HttpSession: deleting data
